raw,DISCOM,State
SBPDCL,SBPDCL,BIHAR
"LPDCL, UT of Ladakh",LPDCL,UT OF LADAKH
"HESCOM, Kar.",HESCOM,KAR
"NBPDCL, Bihar",NBPDCL,BIHAR
"APEPDCL, AP",APEPDCL,AP
"GESCOM, Kar.",GESCOM,KAR
"DGVCL, Guj.",DGVCL,GUJ
"Tata Power-DDL, Delhi",Tata Power-DDL,DELHI
"MPMKVVCL, MP",MPMKVVCL,MP
"PGVCL, Guj.",PGVCL,GUJ
"MESCOM, Kar.",MESCOM,KAR
"SBPDCL, Bihar",SBPDCL,BIHAR
"TANGEDCO, TN",TANGEDCO,TN
"TPCODL, Orissa",TPCODL,ORISSA
"TSNPDCL, Tng.",TSNPDCL,TNG
"KSEB, Ker.",KSEB,KER
"DVC, WB",DVC,WB
"CESC, WB",CESC,WB
"APDCL, Assam",APDCL,ASSAM
"Brihan Mumbai Electric Supply Company (BEST),Mah",Brihan Mumbai Electric Supply Company (BEST),MAH
"MESCOM, Kar",MESCOM,KAR
"BYPL, Delhi",BYPL,DELHI
"DGVCL, Guj",DGVCL,GUJ
"UGVCL, Guj",UGVCL,GUJ
"Torrent Power,Guj",Torrent Power,GUJ
"TANGEDCO,TN",TANGEDCO,TN
"MSEDCL, Mah",MSEDCL,MAH
"HESCOM, Kar",HESCOM,KAR
"AVVNL, Raj",AVVNL,RAJ
"APSPDCL, AP",APSPDCL,AP
"TSNPDCL, Tng",TSNPDCL,TNG
"JDVVNL, Raj",JDVVNL,RAJ
"BRPL, Delhi",BRPL,DELHI
"UHBVN,Haryana",UHBVN,HARYANA
"CESC Mysore,Kar",CESC Mysore,KAR
"KSEB, Ker",KSEB,KER
"Tata Power-DDL,Delhi",Tata Power-DDL,DELHI
"TSSPDCL, Tng",TSSPDCL,TNG
"PGVCL, Guj",PGVCL,GUJ
"Noida Power Company Ltd.(NPCL), UP",Noida Power Company Ltd. (NPCL),UP
"JVVNL, Raj",JVVNL,RAJ
"GESCOM, Kar",GESCOM,KAR
"DHBVN, Haryana",DHBVN,HARYANA
UT Chandigarh,,CHANDIGARH
"UGVCL, Guj.",UGVCL,GUJ
"MSEDCL, Mah.",MSEDCL,MAH
"Noida Power Company Ltd. (NPCL), UP",Noida Power Company Ltd. (NPCL),UP
"Tata Power- DDL, Delhi",Tata Power-DDL,DELHI
"JVVNL, Raj.",JVVNL,RAJ
"JDVVNL, Raj.",JDVVNL,RAJ
"AVVNL, Raj.",AVVNL,RAJ
"UHBVN, Haryana",UHBVN,HARYANA
"Brihan Mumbai Electric Supply Company (BEST), Mah.",Brihan Mumbai Electric Supply Company (BEST),MAH
"Torrent Power, Guj.",Torrent Power,GUJ
"CESC Mysore, Kar.",CESC Mysore,KAR
"BESCOM, Kar.",BESCOM,KAR
"TSSPDCL, Tng.",TSSPDCL,TNG
